# SIMULATION OUTPUT
# i, j, thmin, thmax, f_bal, mean, std_dev, ks_p_value
10 4 40.0000 70.0000 6.4763e-01 2.2629e+01 2.1319e+01 7.1017e-03
10 5 40.0000 65.0000 5.9130e-01 1.8389e+01 2.1691e+01 2.2140e-02
10 6 40.0000 60.0000 5.2966e-01 1.9184e+01 1.9139e+01 7.4441e-02
10 7 40.0000 55.0000 4.5455e-01 1.7188e+01 1.6074e+01 9.8508e-02
10 8 40.0000 50.0000 3.4694e-01 1.5748e+01 1.9630e+01 9.2677e-03
10 9 40.0000 45.0000 2.0548e-01 1.7554e+01 1.6164e+01 8.7330e-02
10 10 40.0000 40.0000      nan 0.0000e+00 0.0000e+00      nan
10 11 40.0000 35.0000      nan 0.0000e+00 0.0000e+00      nan
10 12 40.0000 30.0000      nan 0.0000e+00 0.0000e+00      nan
10 13 40.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
10 14 40.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
10 15 40.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
10 16 40.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
10 17 40.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
11 0 35.0000 90.0000 8.1884e-01 2.1338e+02 7.4232e+03 1.8640e-03
11 1 35.0000 85.0000 8.0173e-01 3.7991e+01 5.6289e+01 1.6057e-03
11 2 35.0000 80.0000 7.8760e-01 2.9842e+01 3.0992e+01 7.4908e-04
11 3 35.0000 75.0000 7.5821e-01 2.3714e+01 2.9428e+01 2.8293e-02
11 4 35.0000 70.0000 7.1952e-01 2.1022e+01 2.5368e+01 2.1926e-02
11 5 35.0000 65.0000 6.8519e-01 1.9447e+01 2.1079e+01 6.3410e-02
11 6 35.0000 60.0000 6.3809e-01 1.8514e+01 1.8478e+01 9.5005e-02
11 7 35.0000 55.0000 5.7788e-01 1.7765e+01 1.6246e+01 1.0494e-01
11 8 35.0000 50.0000 5.0027e-01 1.6222e+01 1.8342e+01 2.5164e-02
11 9 35.0000 45.0000 3.7997e-01 1.5002e+01 1.3698e+01 2.7066e-02
11 10 35.0000 40.0000 2.3052e-01 1.3569e+01 1.7488e+01 7.4975e-03
11 11 35.0000 35.0000      nan 0.0000e+00 0.0000e+00      nan
11 12 35.0000 30.0000      nan 0.0000e+00 0.0000e+00      nan
